time,deltaTime,deltaPress,dv
720.100000,0.067000,36.740000,17.854527
720.133000,0.100000,43.900000,23.259366
720.167000,0.134000,52.860000,30.662383
720.250000,0.217000,67.650000,28.186243
720.333000,0.300000,75.570000,23.600519
720.500000,0.467000,85.730000,24.922057
720.750000,0.717000,97.270000,23.488140
721.000000,0.967000,102.810000,25.837267
721.500000,1.467000,115.740000,26.725732
722.000000,1.967000,121.750000,24.990922
723.000000,2.967000,133.290000,29.081152
724.000000,3.967000,142.070000,28.838897
725.000000,4.967000,148.070000,22.763396
726.000000,5.967000,151.300000,20.710450
728.000000,7.967000,157.770000,29.120810
730.000000,9.967000,166.080000,25.313593
732.000000,11.967000,167.930000,15.303359
734.000000,13.967000,171.160000,26.120308
736.000000,15.967000,175.320000,24.350201
738.000000,17.967000,177.160000,27.505682
740.000000,19.967000,181.320000,21.267984
742.000000,21.967000,181.320000,13.035667
744.000000,23.967000,183.630000,21.762396
748.000000,27.967000,186.400000,21.634802
752.000000,31.967000,189.630000,28.762561
756.000000,35.967000,193.330000,23.875784
760.000000,39.967000,194.710000,41.248253
764.000000,43.967000,201.180000,83.005911